Sample in Buffer,Sample in Window,TRIGGER,adc_in_IBUF[15:0],fm_demodulation[11:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,am_demodulation[11:0],<const0>_5,<const0>_6,<const0>_7,<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,64,573,0,0,0,0,000,0,0,0,0
1,1,0,62,573,0,0,0,0,000,0,0,0,0
2,2,0,56,573,0,0,0,0,000,0,0,0,0
3,3,0,54,573,0,0,0,0,000,0,0,0,0
4,4,0,54,573,0,0,0,0,000,0,0,0,0
5,5,0,53,573,0,0,0,0,000,0,0,0,0
6,6,0,50,573,0,0,0,0,000,0,0,0,0
7,7,0,48,573,0,0,0,0,000,0,0,0,0
8,8,0,47,573,0,0,0,0,000,0,0,0,0
9,9,0,19,573,0,0,0,0,000,0,0,0,0
10,10,0,46,573,0,0,0,0,000,0,0,0,0
11,11,0,14,573,0,0,0,0,000,0,0,0,0
12,12,0,12,573,0,0,0,0,000,0,0,0,0
13,13,0,11,573,0,0,0,0,000,0,0,0,0
14,14,0,5,573,0,0,0,0,000,0,0,0,0
15,15,0,5,573,0,0,0,0,000,0,0,0,0
16,16,0,5,573,0,0,0,0,000,0,0,0,0
17,17,0,2,573,0,0,0,0,000,0,0,0,0
18,18,0,3,573,0,0,0,0,000,0,0,0,0
19,19,0,0,573,0,0,0,0,000,0,0,0,0
20,20,0,-2,573,0,0,0,0,000,0,0,0,0
21,21,0,-2,573,0,0,0,0,000,0,0,0,0
22,22,0,-6,573,0,0,0,0,000,0,0,0,0
23,23,0,-6,573,0,0,0,0,000,0,0,0,0
24,24,0,-11,573,0,0,0,0,000,0,0,0,0
25,25,0,-12,573,0,0,0,0,000,0,0,0,0
26,26,0,-9,573,0,0,0,0,000,0,0,0,0
27,27,0,-14,573,0,0,0,0,000,0,0,0,0
28,28,0,-13,573,0,0,0,0,000,0,0,0,0
29,29,0,-18,573,0,0,0,0,000,0,0,0,0
30,30,0,-19,573,0,0,0,0,000,0,0,0,0
31,31,0,-20,573,0,0,0,0,000,0,0,0,0
32,32,0,-48,573,0,0,0,0,000,0,0,0,0
33,33,0,-48,573,0,0,0,0,000,0,0,0,0
34,34,0,-52,573,0,0,0,0,000,0,0,0,0
